"index","location","url_location","hotel_name","hotel_lat","hotel_lon","hotel_scoring","scoring_comment","hotel_description","hotel_link","location_id","location_latitude","location_longitude","daily_datetime","daily_temp_day","daily_temp_day_fl","daily_weather_main","daily_weather_description","daily_pop","daily_uvi","daily_pop_inv","area"
3028.0,"Avignon","https://www.booking.com/searchresults.fr.html?ss=Avignon+France","ibis Avignon Centre Gare",43.94229,4.8072743,"7,9","Bien ","L'ibis Avignon Centre Gare est situé au cœur d'Avignon, à seulement 50 mètres de la gare. hotel_descriptionPlus d'informations…hotel_description","https://www.booking.com/hotel/fr/ibis-avignon-centre-gare.fr.html?label=gen173nr-1FCAQoggJCFXNlYXJjaF9hdmlnbm9uIGZyYW5jZUgNWARoFYgBAZgBDbgBGMgBDtgBAegBAfgBA4gCAagCBLgCjr_ZhgbAAgHSAiQzZWM4YmU4NC03Y2Y1LTQyMTEtOTQ4MC1lNjQwZTk5MzM4OWTYAgXgAgE;sid=f4145cb908c9d661cb3e34b900a354ed;dest_id=-1409631;dest_type=city;group_adults=2;group_children=0;hapos=10;hpos=10;no_rooms=1;sr_order=popularity;srepoch=1624661902;srpvid=c5dda187ed3c00e5;ucfs=1&;selected_currency=EUR#topanchor",257880005.0,43.9492493,4.8059012,"18/09/2021",27.86,27.24,"Clear","clear sky",0.0,5.06,1.0,"Coast"
2965.0,"Avignon","https://www.booking.com/searchresults.fr.html?ss=Avignon+France","B&B / Chambre d'hôtes    Be Loft B&B Pool & Spa",43.94034,4.8117495,"8,7","Superbe","Doté d'une salle de sport, le Be Loft B&B Pool & Spa se situe à Avignon, à 1,5 km du palais des papes. Cette chambre d'hôtes possède un bar, une terrasse et une piscine extérieure ouverte en saison. hotel_descriptionPlus d'informations…hotel_description","https://www.booking.com/hotel/fr/be-loft.fr.html?label=gen173nr-1FCAQoggJCFXNlYXJjaF9hdmlnbm9uIGZyYW5jZUgNWARoFYgBAZgBDbgBGMgBDtgBAegBAfgBA4gCAagCBLgCjr_ZhgbAAgHSAiQzZWM4YmU4NC03Y2Y1LTQyMTEtOTQ4MC1lNjQwZTk5MzM4OWTYAgXgAgE;sid=f4145cb908c9d661cb3e34b900a354ed;dest_id=-1409631;dest_type=city;group_adults=2;group_children=0;hapos=1;hpos=1;no_rooms=1;sr_order=popularity;srepoch=1624661902;srpvid=c5dda187ed3c00e5;ucfs=1&;selected_currency=EUR#topanchor",257880005.0,43.9492493,4.8059012,"18/09/2021",27.86,27.24,"Clear","clear sky",0.0,5.06,1.0,"Coast"
2972.0,"Avignon","https://www.booking.com/searchresults.fr.html?ss=Avignon+France","Appartement    s A l'ombre du Palais",43.95173,4.810339,"8,5","Très bien","Situé à 500 mètres du palais des Papes et à 10 minutes à pied du pont d'Avignon, l'établissement A l'ombre du Palais propose des hébergements avec une terrasse commune meublée et une connexion Wi-Fi...hotel_descriptionPlus d'informations…hotel_description","https://www.booking.com/hotel/fr/a-l-39-ombre-du-palais.fr.html?label=gen173nr-1FCAQoggJCFXNlYXJjaF9hdmlnbm9uIGZyYW5jZUgNWARoFYgBAZgBDbgBGMgBDtgBAegBAfgBA4gCAagCBLgCjr_ZhgbAAgHSAiQzZWM4YmU4NC03Y2Y1LTQyMTEtOTQ4MC1lNjQwZTk5MzM4OWTYAgXgAgE;sid=f4145cb908c9d661cb3e34b900a354ed;dest_id=-1409631;dest_type=city;group_adults=2;group_children=0;hapos=2;hpos=2;no_rooms=1;sr_order=popularity;srepoch=1624661902;srpvid=c5dda187ed3c00e5;ucfs=1&;selected_currency=EUR#topanchor",257880005.0,43.9492493,4.8059012,"18/09/2021",27.86,27.24,"Clear","clear sky",0.0,5.06,1.0,"Coast"
2979.0,"Avignon","https://www.booking.com/searchresults.fr.html?ss=Avignon+France","Maison d'hôtes    Aux Augustins",43.950058,4.8132186,"8,8","Superbe","Doté d’une terrasse, l’établissement Aux Augustins propose des hébergements indépendants dans un monastère rénové du XIVe siècle situé dans le centre historique d’Avignon, juste à côté de la tour des...hotel_descriptionPlus d'informations…hotel_description","https://www.booking.com/hotel/fr/aux-augustins.fr.html?label=gen173nr-1FCAQoggJCFXNlYXJjaF9hdmlnbm9uIGZyYW5jZUgNWARoFYgBAZgBDbgBGMgBDtgBAegBAfgBA4gCAagCBLgCjr_ZhgbAAgHSAiQzZWM4YmU4NC03Y2Y1LTQyMTEtOTQ4MC1lNjQwZTk5MzM4OWTYAgXgAgE;sid=f4145cb908c9d661cb3e34b900a354ed;dest_id=-1409631;dest_type=city;group_adults=2;group_children=0;hapos=3;hpos=3;no_rooms=1;sr_order=popularity;srepoch=1624661902;srpvid=c5dda187ed3c00e5;ucfs=1&;selected_currency=EUR#topanchor",257880005.0,43.9492493,4.8059012,"18/09/2021",27.86,27.24,"Clear","clear sky",0.0,5.06,1.0,"Coast"
2986.0,"Avignon","https://www.booking.com/searchresults.fr.html?ss=Avignon+France","Maison de vacancesMaison XIXe et Jardin en Intramuros",43.950344,4.8115377,"8,8","Superbe","La Maison XIXe et jardin en intramuros est située dans le centre-ville d'Avignon. Cette maison de vacances dispose d'une connexion Wi-Fi gratuite. hotel_descriptionPlus d'informations…hotel_description","https://www.booking.com/hotel/fr/maison-xixe-et-jardin-en-intramuros.fr.html?label=gen173nr-1FCAQoggJCFXNlYXJjaF9hdmlnbm9uIGZyYW5jZUgNWARoFYgBAZgBDbgBGMgBDtgBAegBAfgBA4gCAagCBLgCjr_ZhgbAAgHSAiQzZWM4YmU4NC03Y2Y1LTQyMTEtOTQ4MC1lNjQwZTk5MzM4OWTYAgXgAgE;sid=f4145cb908c9d661cb3e34b900a354ed;dest_id=-1409631;dest_type=city;group_adults=2;group_children=0;hapos=4;hpos=4;no_rooms=1;sr_order=popularity;srepoch=1624661902;srpvid=c5dda187ed3c00e5;ucfs=1&;selected_currency=EUR#topanchor",257880005.0,43.9492493,4.8059012,"18/09/2021",27.86,27.24,"Clear","clear sky",0.0,5.06,1.0,"Coast"
2993.0,"Avignon","https://www.booking.com/searchresults.fr.html?ss=Avignon+France","Maison d'hôtes    Autour Du Petit Paradis",43.94623,4.8100705,"8,2","Très bien","Situé au cœur d'Avignon, l'établissement Autour Du Petit Paradis occupe une maison du XVIIe siècle située à respectivement 3 et 10 minutes à pied du marché des Halles et du Palais des papes. hotel_descriptionPlus d'informations…hotel_description","https://www.booking.com/hotel/fr/autour-du-petit-paradis.fr.html?label=gen173nr-1FCAQoggJCFXNlYXJjaF9hdmlnbm9uIGZyYW5jZUgNWARoFYgBAZgBDbgBGMgBDtgBAegBAfgBA4gCAagCBLgCjr_ZhgbAAgHSAiQzZWM4YmU4NC03Y2Y1LTQyMTEtOTQ4MC1lNjQwZTk5MzM4OWTYAgXgAgE;sid=f4145cb908c9d661cb3e34b900a354ed;dest_id=-1409631;dest_type=city;group_adults=2;group_children=0;hapos=5;hpos=5;no_rooms=1;sr_order=popularity;srepoch=1624661902;srpvid=c5dda187ed3c00e5;ucfs=1&;selected_currency=EUR#topanchor",257880005.0,43.9492493,4.8059012,"18/09/2021",27.86,27.24,"Clear","clear sky",0.0,5.06,1.0,"Coast"
3000.0,"Avignon","https://www.booking.com/searchresults.fr.html?ss=Avignon+France","Appart'hôtel    Aparthotel Adagio Access Avignon",43.92623,4.7859273,"8,0","Très bien","L’Aparthotel Adagio Access Avignon se situe près de la gare TGV d’Avignon, à seulement 10 minutes en voiture du centre-ville. hotel_descriptionPlus d'informations…hotel_description","https://www.booking.com/hotel/fr/citea-avignon.fr.html?label=gen173nr-1FCAQoggJCFXNlYXJjaF9hdmlnbm9uIGZyYW5jZUgNWARoFYgBAZgBDbgBGMgBDtgBAegBAfgBA4gCAagCBLgCjr_ZhgbAAgHSAiQzZWM4YmU4NC03Y2Y1LTQyMTEtOTQ4MC1lNjQwZTk5MzM4OWTYAgXgAgE;sid=f4145cb908c9d661cb3e34b900a354ed;dest_id=-1409631;dest_type=city;group_adults=2;group_children=0;hapos=6;hpos=6;no_rooms=1;sr_order=popularity;srepoch=1624661902;srpvid=c5dda187ed3c00e5;ucfs=1&;selected_currency=EUR#topanchor",257880005.0,43.9492493,4.8059012,"18/09/2021",27.86,27.24,"Clear","clear sky",0.0,5.06,1.0,"Coast"
3007.0,"Avignon","https://www.booking.com/searchresults.fr.html?ss=Avignon+France","hotelF1 Avignon Centre Courtine gare TGV",43.92903,4.788189,"7,0","Bien ","L'hotelF1 Avignon Centre Courtine gare TGV se trouve à Avignon, à 2,9 km du palais des Papes et à 3 km du pont d'Avignon. hotel_descriptionPlus d'informations…hotel_description","https://www.booking.com/hotel/fr/hotelf1-avignon-centre-courtine-gare-tgv.fr.html?label=gen173nr-1FCAQoggJCFXNlYXJjaF9hdmlnbm9uIGZyYW5jZUgNWARoFYgBAZgBDbgBGMgBDtgBAegBAfgBA4gCAagCBLgCjr_ZhgbAAgHSAiQzZWM4YmU4NC03Y2Y1LTQyMTEtOTQ4MC1lNjQwZTk5MzM4OWTYAgXgAgE;sid=f4145cb908c9d661cb3e34b900a354ed;dest_id=-1409631;dest_type=city;group_adults=2;group_children=0;hapos=7;hpos=7;no_rooms=1;sr_order=popularity;srepoch=1624661902;srpvid=c5dda187ed3c00e5;ucfs=1&;selected_currency=EUR#topanchor",257880005.0,43.9492493,4.8059012,"18/09/2021",27.86,27.24,"Clear","clear sky",0.0,5.06,1.0,"Coast"
3014.0,"Avignon","https://www.booking.com/searchresults.fr.html?ss=Avignon+France","Hôtel du Palais des Papes",43.950348,4.8062077,"8,1","Très bien","L'hôtel du Palais des Papes est situé à Avignon, en face du Palais des Papes. Il occupe un bâtiment de 3 étages dans une zone entièrement piétonne. hotel_descriptionPlus d'informations…hotel_description","https://www.booking.com/hotel/fr/du-palais-des-papes-avignon.fr.html?label=gen173nr-1FCAQoggJCFXNlYXJjaF9hdmlnbm9uIGZyYW5jZUgNWARoFYgBAZgBDbgBGMgBDtgBAegBAfgBA4gCAagCBLgCjr_ZhgbAAgHSAiQzZWM4YmU4NC03Y2Y1LTQyMTEtOTQ4MC1lNjQwZTk5MzM4OWTYAgXgAgE;sid=f4145cb908c9d661cb3e34b900a354ed;dest_id=-1409631;dest_type=city;group_adults=2;group_children=0;hapos=8;hpos=8;no_rooms=1;sr_order=popularity;srepoch=1624661902;srpvid=c5dda187ed3c00e5;ucfs=1&;selected_currency=EUR#topanchor",257880005.0,43.9492493,4.8059012,"18/09/2021",27.86,27.24,"Clear","clear sky",0.0,5.06,1.0,"Coast"
3021.0,"Avignon","https://www.booking.com/searchresults.fr.html?ss=Avignon+France","Le Magnan",43.94363,4.8121715,"8,6","Superbe","Situé dans un cadre verdoyant au sein des anciens remparts de la ville, Le Magnan propose une connexion Wi-Fi gratuite. Il se trouve à 10 minutes à pied du Palais des Papes. hotel_descriptionPlus d'informations…hotel_description","https://www.booking.com/hotel/fr/hotellemagnan.fr.html?label=gen173nr-1FCAQoggJCFXNlYXJjaF9hdmlnbm9uIGZyYW5jZUgNWARoFYgBAZgBDbgBGMgBDtgBAegBAfgBA4gCAagCBLgCjr_ZhgbAAgHSAiQzZWM4YmU4NC03Y2Y1LTQyMTEtOTQ4MC1lNjQwZTk5MzM4OWTYAgXgAgE;sid=f4145cb908c9d661cb3e34b900a354ed;dest_id=-1409631;dest_type=city;group_adults=2;group_children=0;hapos=9;hpos=9;no_rooms=1;sr_order=popularity;srepoch=1624661902;srpvid=c5dda187ed3c00e5;ucfs=1&;selected_currency=EUR#topanchor",257880005.0,43.9492493,4.8059012,"18/09/2021",27.86,27.24,"Clear","clear sky",0.0,5.06,1.0,"Coast"
3035.0,"Avignon","https://www.booking.com/searchresults.fr.html?ss=Avignon+France","Hôtel Le Médiéval",43.949306,4.8093457,"8,5","Très bien","L'établissement Le Médiéval occupe l'ancien palais d'un cardinal dans le centre historique d'Avignon. hotel_descriptionPlus d'informations…hotel_description","https://www.booking.com/hotel/fr/le-medieval-avignon.fr.html?label=gen173nr-1FCAQoggJCFXNlYXJjaF9hdmlnbm9uIGZyYW5jZUgNWARoFYgBAZgBDbgBGMgBDtgBAegBAfgBA4gCAagCBLgCjr_ZhgbAAgHSAiQzZWM4YmU4NC03Y2Y1LTQyMTEtOTQ4MC1lNjQwZTk5MzM4OWTYAgXgAgE;sid=f4145cb908c9d661cb3e34b900a354ed;dest_id=-1409631;dest_type=city;group_adults=2;group_children=0;hapos=11;hpos=11;no_rooms=1;sr_order=popularity;srepoch=1624661902;srpvid=c5dda187ed3c00e5;ucfs=1&;selected_currency=EUR#topanchor",257880005.0,43.9492493,4.8059012,"18/09/2021",27.86,27.24,"Clear","clear sky",0.0,5.06,1.0,"Coast"
3042.0,"Avignon","https://www.booking.com/searchresults.fr.html?ss=Avignon+France","Best Western Hôtel Le Paradou Avignon Sud.",43.904892,4.89553,"8,0","Très bien","Situé dans un parc à Avignon Sud-Montfavet, le Best Western Hôtel Le Paradou Avignon Sud. propose une connexion Wi-Fi gratuite disponible dans l'ensemble de l'établissement. hotel_descriptionPlus d'informations…hotel_description","https://www.booking.com/hotel/fr/paradouavignon.fr.html?label=gen173nr-1FCAQoggJCFXNlYXJjaF9hdmlnbm9uIGZyYW5jZUgNWARoFYgBAZgBDbgBGMgBDtgBAegBAfgBA4gCAagCBLgCjr_ZhgbAAgHSAiQzZWM4YmU4NC03Y2Y1LTQyMTEtOTQ4MC1lNjQwZTk5MzM4OWTYAgXgAgE;sid=f4145cb908c9d661cb3e34b900a354ed;dest_id=-1409631;dest_type=city;group_adults=2;group_children=0;hapos=12;hpos=12;no_rooms=1;sr_order=popularity;srepoch=1624661902;srpvid=c5dda187ed3c00e5;ucfs=1&;selected_currency=EUR#topanchor",257880005.0,43.9492493,4.8059012,"18/09/2021",27.86,27.24,"Clear","clear sky",0.0,5.06,1.0,"Coast"
3049.0,"Avignon","https://www.booking.com/searchresults.fr.html?ss=Avignon+France","Appart'hôtel    Résidence Les Cordeliers",43.94409,4.8114204,"7,9","Bien ","La Résidence Les Cordeliers est située dans le centre historique d’Avignon, à 10 minutes à pied de la gare d'Avignon-Centre, du palais des Papes, de la place du marché principale et de la vieille...hotel_descriptionPlus d'informations…hotel_description","https://www.booking.com/hotel/fr/residence-les-cordeliers.fr.html?label=gen173nr-1FCAQoggJCFXNlYXJjaF9hdmlnbm9uIGZyYW5jZUgNWARoFYgBAZgBDbgBGMgBDtgBAegBAfgBA4gCAagCBLgCjr_ZhgbAAgHSAiQzZWM4YmU4NC03Y2Y1LTQyMTEtOTQ4MC1lNjQwZTk5MzM4OWTYAgXgAgE;sid=f4145cb908c9d661cb3e34b900a354ed;dest_id=-1409631;dest_type=city;group_adults=2;group_children=0;hapos=13;hpos=13;no_rooms=1;sr_order=popularity;srepoch=1624661902;srpvid=c5dda187ed3c00e5;ucfs=1&;selected_currency=EUR#topanchor",257880005.0,43.9492493,4.8059012,"18/09/2021",27.86,27.24,"Clear","clear sky",0.0,5.06,1.0,"Coast"
3063.0,"Avignon","https://www.booking.com/searchresults.fr.html?ss=Avignon+France","Régina Boutique Hotel",43.948166,4.8057647,"9,0","Fabuleux ","Le Régina Boutique Hotel est situé dans la rue principale d'Avignon, à seulement 5 minutes à pied du Palais des Papes. hotel_descriptionPlus d'informations…hotel_description","https://www.booking.com/hotel/fr/hotelreginaavignon.fr.html?label=gen173nr-1FCAQoggJCFXNlYXJjaF9hdmlnbm9uIGZyYW5jZUgNWARoFYgBAZgBDbgBGMgBDtgBAegBAfgBA4gCAagCBLgCjr_ZhgbAAgHSAiQzZWM4YmU4NC03Y2Y1LTQyMTEtOTQ4MC1lNjQwZTk5MzM4OWTYAgXgAgE;sid=f4145cb908c9d661cb3e34b900a354ed;dest_id=-1409631;dest_type=city;group_adults=2;group_children=0;hapos=15;hpos=15;no_rooms=1;sr_order=popularity;srepoch=1624661902;srpvid=c5dda187ed3c00e5;ucfs=1&;selected_currency=EUR#topanchor",257880005.0,43.9492493,4.8059012,"18/09/2021",27.86,27.24,"Clear","clear sky",0.0,5.06,1.0,"Coast"
3056.0,"Avignon","https://www.booking.com/searchresults.fr.html?ss=Avignon+France","Appart'hôtel    ApartHotel Sainte-Marthe",43.949894,4.819864,"7,7","Bien ","Situé en face de l'université Sainte Marthe, à seulement 15 minutes à pied du Palais des Papes et du centre historique d'Avignon, l'Apart'Hotel Sainte-Marthe propose des appartements indépendants et...hotel_descriptionPlus d'informations…hotel_description","https://www.booking.com/hotel/fr/ra-c-sidence-sainte-marthe.fr.html?label=gen173nr-1FCAQoggJCFXNlYXJjaF9hdmlnbm9uIGZyYW5jZUgNWARoFYgBAZgBDbgBGMgBDtgBAegBAfgBA4gCAagCBLgCjr_ZhgbAAgHSAiQzZWM4YmU4NC03Y2Y1LTQyMTEtOTQ4MC1lNjQwZTk5MzM4OWTYAgXgAgE;sid=f4145cb908c9d661cb3e34b900a354ed;dest_id=-1409631;dest_type=city;group_adults=2;group_children=0;hapos=14;hpos=14;no_rooms=1;sr_order=popularity;srepoch=1624661902;srpvid=c5dda187ed3c00e5;ucfs=1&;selected_currency=EUR#topanchor",257880005.0,43.9492493,4.8059012,"18/09/2021",27.86,27.24,"Clear","clear sky",0.0,5.06,1.0,"Coast"
3070.0,"Avignon","https://www.booking.com/searchresults.fr.html?ss=Avignon+France","Appartement    Studio climatisé Corps Saints",43.944214,4.809472,"9,1","Fabuleux ","Situé en plein cœur d'Avignon, à proximité de la médiathèque Ceccano et du tribunal de première instance d'Avignon, le Studio climatisé Corps Saints propose une connexion Wi-Fi gratuite, la...hotel_descriptionPlus d'informations…hotel_description","https://www.booking.com/hotel/fr/studio-climatise-intramuros.fr.html?label=gen173nr-1FCAQoggJCFXNlYXJjaF9hdmlnbm9uIGZyYW5jZUgNWARoFYgBAZgBDbgBGMgBDtgBAegBAfgBA4gCAagCBLgCjr_ZhgbAAgHSAiQzZWM4YmU4NC03Y2Y1LTQyMTEtOTQ4MC1lNjQwZTk5MzM4OWTYAgXgAgE;sid=f4145cb908c9d661cb3e34b900a354ed;dest_id=-1409631;dest_type=city;group_adults=2;group_children=0;hapos=16;hpos=16;no_rooms=1;sr_order=popularity;srepoch=1624661902;srpvid=c5dda187ed3c00e5;ucfs=1&;selected_currency=EUR#topanchor",257880005.0,43.9492493,4.8059012,"18/09/2021",27.86,27.24,"Clear","clear sky",0.0,5.06,1.0,"Coast"
3077.0,"Avignon","https://www.booking.com/searchresults.fr.html?ss=Avignon+France","Appartement    s My Pad Provence",43.952515,4.8158593,"9,1","Fabuleux ","Situé à Avignon, l'établissement My Pad Provence propose des hébergements indépendants dotés d'une connexion Wi-Fi gratuite. Il se trouve à 900 mètres du Palais des Papes et du pont d'Avignon. hotel_descriptionPlus d'informations…hotel_description","https://www.booking.com/hotel/fr/my-pad-provence.fr.html?label=gen173nr-1FCAQoggJCFXNlYXJjaF9hdmlnbm9uIGZyYW5jZUgNWARoFYgBAZgBDbgBGMgBDtgBAegBAfgBA4gCAagCBLgCjr_ZhgbAAgHSAiQzZWM4YmU4NC03Y2Y1LTQyMTEtOTQ4MC1lNjQwZTk5MzM4OWTYAgXgAgE;sid=f4145cb908c9d661cb3e34b900a354ed;dest_id=-1409631;dest_type=city;group_adults=2;group_children=0;hapos=17;hpos=17;no_rooms=1;sr_order=popularity;srepoch=1624661902;srpvid=c5dda187ed3c00e5;ucfs=1&;selected_currency=EUR#topanchor",257880005.0,43.9492493,4.8059012,"18/09/2021",27.86,27.24,"Clear","clear sky",0.0,5.06,1.0,"Coast"
3084.0,"Avignon","https://www.booking.com/searchresults.fr.html?ss=Avignon+France","Hotel Boquier",43.9447,4.804993,"8,5","Très bien","L'Hôtel Boquier est situé dans le centre-ville d'Avignon, à 800 mètres du Palais des Papes. hotel_descriptionPlus d'informations…hotel_description","https://www.booking.com/hotel/fr/boquier.fr.html?label=gen173nr-1FCAQoggJCFXNlYXJjaF9hdmlnbm9uIGZyYW5jZUgNWARoFYgBAZgBDbgBGMgBDtgBAegBAfgBA4gCAagCBLgCjr_ZhgbAAgHSAiQzZWM4YmU4NC03Y2Y1LTQyMTEtOTQ4MC1lNjQwZTk5MzM4OWTYAgXgAgE;sid=f4145cb908c9d661cb3e34b900a354ed;dest_id=-1409631;dest_type=city;group_adults=2;group_children=0;hapos=18;hpos=18;no_rooms=1;sr_order=popularity;srepoch=1624661902;srpvid=c5dda187ed3c00e5;ucfs=1&;selected_currency=EUR#topanchor",257880005.0,43.9492493,4.8059012,"18/09/2021",27.86,27.24,"Clear","clear sky",0.0,5.06,1.0,"Coast"
3091.0,"Avignon","https://www.booking.com/searchresults.fr.html?ss=Avignon+France","Hôtel Cloitre Saint Louis Avignon",43.94381,4.804947,"7,9","Bien ","Situé dans le centre d'Avignon, à 15 minutes à pied du palais des papes et du pont de la ville, l'Hôtel Cloitre Saint Louis Avignon occupe un bâtiment du XVIème siècle doté d'une piscine extérieure...hotel_descriptionPlus d'informations…hotel_description","https://www.booking.com/hotel/fr/clarioncloitrestlouis.fr.html?label=gen173nr-1FCAQoggJCFXNlYXJjaF9hdmlnbm9uIGZyYW5jZUgNWARoFYgBAZgBDbgBGMgBDtgBAegBAfgBA4gCAagCBLgCjr_ZhgbAAgHSAiQzZWM4YmU4NC03Y2Y1LTQyMTEtOTQ4MC1lNjQwZTk5MzM4OWTYAgXgAgE;sid=f4145cb908c9d661cb3e34b900a354ed;dest_id=-1409631;dest_type=city;group_adults=2;group_children=0;hapos=19;hpos=19;no_rooms=1;sr_order=popularity;srepoch=1624661902;srpvid=c5dda187ed3c00e5;ucfs=1&;selected_currency=EUR#topanchor",257880005.0,43.9492493,4.8059012,"18/09/2021",27.86,27.24,"Clear","clear sky",0.0,5.06,1.0,"Coast"
3098.0,"Avignon","https://www.booking.com/searchresults.fr.html?ss=Avignon+France","Hôtel Danieli",43.947567,4.8060303,"7,8","Bien ","Le Danieli se situe au cœur de la vieille ville d'Avignon, à 400 mètres du palais des Papes et à 10 minutes à pied du pont d'Avignon. hotel_descriptionPlus d'informations…hotel_description","https://www.booking.com/hotel/fr/hoteldanieli.fr.html?label=gen173nr-1FCAQoggJCFXNlYXJjaF9hdmlnbm9uIGZyYW5jZUgNWARoFYgBAZgBDbgBGMgBDtgBAegBAfgBA4gCAagCBLgCjr_ZhgbAAgHSAiQzZWM4YmU4NC03Y2Y1LTQyMTEtOTQ4MC1lNjQwZTk5MzM4OWTYAgXgAgE;sid=f4145cb908c9d661cb3e34b900a354ed;dest_id=-1409631;dest_type=city;group_adults=2;group_children=0;hapos=20;hpos=20;no_rooms=1;sr_order=popularity;srepoch=1624661902;srpvid=c5dda187ed3c00e5;ucfs=1&;selected_currency=EUR#topanchor",257880005.0,43.9492493,4.8059012,"18/09/2021",27.86,27.24,"Clear","clear sky",0.0,5.06,1.0,"Coast"
